"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"Art4",8.1931291940367,8.1670412819722,8.21596451862409,8.3778217410229,8.31521753590072,8.13235311147409,7.66147131766288,7.82571451156743,7.56894708080663,7.16656903585859,7.19580839862695,6.94298682077119
"Dnah12",8.58083362535369,8.20630537183332,8.46779604269033,8.88516340186666,8.18825575349476,8.44786132739713,8.18783726667822,8.5198184029932,8.32245198100362,7.18054784028035,7.15028437697958,7.41426172131222
"Iglv2",6.14633767436268,6.44464837328472,5.87954892404233,8.0610035310613,5.88455655466823,6.0623814947466,5.71342433105888,5.72671280702577,5.82483973645575,5.50658822923474,5.4316550364548,5.06085756112081
"Pzp",4.90654730163169,7.06490340391111,5.40818289178414,4.48504452714169,4.2910670658651,4.36945147007825,5.12052926337409,4.65704454687429,4.2821883183706,4.50593569063075,4.23160565076816,4.43231455842649
"Acr",6.71954245674099,6.51066683454404,6.22781146146678,6.43968539800369,6.72224968872397,6.40286826633239,7.51246304084461,7.35162449207506,7.47465941727019,6.40690963733159,6.70425351138583,6.2557485989633
"Actg1",10.1327259036371,10.5412770115194,10.2836594127045,10.4273595159725,10.3156517374357,10.3762011577328,10.7638287887261,10.584895332384,10.6531290976194,11.3629180960389,11.5487586533563,11.3770270636215
"Adm",6.54583716636536,7.29438215591429,7.10945955188747,5.85710918598855,5.84565797271925,6.03869025313419,8.06117911758687,7.91522392136226,8.5001896961211,9.34647909118613,9.45248386470782,9.26055612998409
"Gpr182",7.8670799965433,8.31723451054766,8.02549730016522,7.63332912711585,8.16294298124489,7.79514266405496,7.0803717416457,6.91398484967818,6.98182033829895,7.30292904372019,7.28177794631454,7.23592952112393
"Adra1a",6.3450356258913,6.59250370168248,6.51624390360209,5.91689038223555,5.97070522844247,6.0299926388682,4.78608933743045,5.42807546546502,5.36773721797592,5.35367834317232,5.16067472267945,5.05914941719909
"Adrb1",9.06442754982345,8.94604245527791,8.91131873606726,8.44754061162667,8.26893553747713,8.23580483784247,7.82356716946178,7.78376415018822,8.20549234123824,7.62490704366865,7.31975721625918,7.45814251355228
"Ahr",9.69288813899145,9.85124187936908,9.70357929940326,9.13246463552159,9.25371236207239,9.15850906294386,9.47160302178375,9.28392761297693,9.48794741904564,9.93534243680518,10.1044652906851,10.041156500411
"Alas2",8.82792454940451,8.49544981675592,9.3412306409829,8.97133764213627,8.54130355181917,9.40745406722657,7.25188990066894,7.54880897775986,7.81743302717138,8.70231448502986,8.86859249909845,9.27463982807451
"Nr2f2",8.48259445334077,8.32638529604583,8.68776268404144,8.30189752889011,8.01160363785188,8.17172115708557,7.8294809138584,7.72607067220057,7.70590698120271,7.08929901706924,7.06050655093191,7.18707473505748
"Areg",5.78091771854146,6.03829805531441,6.14870002936579,6.08586810180165,6.0713928317157,5.94302319412712,9.24338757428852,8.71134626126456,9.40606161236373,8.94266610074473,9.07973089170607,9.28050403264945
"Arg2",6.44262357698113,6.3730618040157,6.25613709312543,7.21036672621871,7.25995061364746,6.55283848738241,6.9894369430346,7.76114847545987,7.5851589376457,8.15721352534912,8.00301703039985,7.80761488410512
"Arl4a",4.49353696526335,4.46580925852067,4.80348847106303,4.77320159568507,4.42516562065087,4.76592086320277,5.59208283050456,5.9618961789999,5.97248256913794,5.14727151535952,5.60261864386485,5.52204233529257
"Arntl",7.47049517734961,8.49329728843771,8.06372773100031,5.85516857702849,6.15508439098637,5.98626692739838,7.61538442358188,8.74777171124559,8.41878321419245,9.07879832724704,8.7040523426516,8.86662868956288
"Atf3",6.89784804104127,7.42766826941421,7.46620892285766,7.42515398310933,7.96607632050633,7.30321839178852,10.1148953145042,9.15985330871326,9.95480672006419,11.7963855052293,11.2178430384269,11.7058365885649
"Atf4",8.59301434389312,8.73295969380644,8.79392173582994,8.66164964744605,8.81609481352358,8.64584267330202,9.87869984100842,9.46634551619889,9.66359181900305,10.1331790929866,10.197321614743,10.3337685531157
"Slc7a1",6.72756722416967,6.82448956140224,7.19568101783906,6.77111525116748,6.84656777290216,6.49917646854765,8.25303341782857,8.0460548523452,8.51900959961426,8.12134552453775,8.60406301609382,8.39704910959082
"Bcl6b",7.36457974724982,7.31359056167758,7.60900440668354,6.67692623780402,7.05604675546718,7.07358399022752,8.44681945129499,8.43714262629002,8.58394749921413,6.95647502940042,7.66413737549055,7.80731442679142
