"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"17412418",6.91072167259817,7.00884417140958,6.96149322157565,6.84132994420562,6.65043714583155,6.7138398933504,7.13422627349713,7.22205613620393,7.36235855025055,7.05354002713147,7.17718987574229,7.37728222259602
"17219670",6.29524209100664,5.22114467428918,4.2468129747033,5.87824487713265,5.80330194400454,6.12915240992937,3.84833110163504,3.97930735810392,3.87521794240725,5.14848252835619,5.47724563243167,5.07241828698564
"17254289",6.6952189990502,6.27515327052691,5.77879152361155,6.58580377132844,6.6313595778744,6.49122526547724,6.15546872464383,6.52302346617669,6.25005214234616,7.21223932066832,7.0349669261684,6.66590931832399
"17271237",6.3732029793876,6.23536900616917,6.22231589422195,6.59370383758976,6.46265946764181,6.43029880959754,6.96557893212027,6.80895843448707,6.48744323198285,6.6715164947827,6.94193429508467,6.88904569501504
"17268898",6.14723293974232,6.04631109349218,5.81765584006036,6.27409203023203,6.17953732324329,5.96885805179436,6.70008844005636,6.67001477543275,6.57989006698559,6.60031753574425,6.51328925866558,6.61063584671157
"17335124",5.04023254300938,4.98764095014719,5.13827967842509,4.82099215434825,4.60921405830038,4.79876264673248,4.62979565041215,4.50533549931374,4.61084988720346,4.94339801350004,4.61752080473487,4.32091289636806
"17526659",5.61086007413912,5.37739947051087,5.55936910330109,5.68986491164386,5.70961421219402,5.90922654265886,5.42292348759919,5.28006756212007,5.31455475123099,5.71997228325476,5.59682023211308,5.34059320697762
"17408067",5.9990654450251,5.95354675649102,5.85875114610017,6.50750675057709,6.32556204369224,6.39397806021593,5.97158536303501,5.92254901019056,5.78346824598788,6.43726943998711,6.07263837370699,5.85163946950958
"17476599",5.05518047312632,5.53598678056261,5.6260734763158,4.98185892548317,5.32679263385211,5.35345522428594,5.46497830079152,4.94378340627252,5.3894987698665,5.38309639440466,5.47943243638566,5.14202764561813
"17433934",7.1593211847433,7.08880635123013,7.03846623620296,6.62156130226787,6.66958418314801,6.64308247217086,6.49155497386186,6.75293780945269,6.57437758438304,6.0427490832118,5.9763557221084,5.7910588366859
"17526127",6.30264515143018,6.34871781766212,6.15610516805079,5.90515471552898,6.34785899976229,6.20167427891097,5.85396208186727,5.85055981112439,6.00023066531458,5.4230346031972,5.02101374607423,5.15399221402354
"17471146",4.19698812075966,4.07510764488007,4.89018373094723,4.45818523994787,4.04042656899465,4.42057571949145,4.66098395160987,4.32222782244008,4.37071556928856,4.10836701477348,3.89160392056447,4.08625443270563
"17319103",6.01483982110072,6.50165367612607,6.12078481669851,6.79093605531952,6.50177108842757,6.59982625045262,6.67548740585653,6.52453329046312,5.88955118720025,7.03040234475851,7.01851416484981,6.51068001797902
"17217237",4.9644342986408,5.36708110142405,5.38257650830493,5.52342228379753,5.52593828864425,5.72651079137886,5.30547516183063,5.08315259491014,5.09935327927438,5.28612546393849,5.45189969580552,5.40084953559647
"17373996",5.5084838254218,5.06652290870071,5.36946584313687,5.61767705636176,5.05769080241538,5.43575578309909,4.91711983080606,5.07415086678154,5.15313799093054,4.57902949462293,4.74640581426725,4.73977334885543
"17318422",5.8096867295913,5.70347354976476,5.92253846513083,6.0871023336685,5.93161099694951,5.6358646800476,6.38104121188754,6.20986973203208,6.16220898898166,6.33846702553075,6.51580745898463,5.99300628031429
"17381511",7.40269322151328,7.38392821342218,7.34694187397203,7.44548614786625,7.21580443054757,6.98970360192317,7.09665629730125,7.49404290544099,7.20794119232441,6.88234943319644,6.95411810501472,6.32227273907633
"17522280",5.87359703346331,5.56340851880786,6.0260674765386,5.30397797238505,5.34381205980198,5.43796461742404,5.70946637140696,5.95531929867593,5.87011138506733,5.18909929972438,5.45307522014462,5.57642909733932
"17530915",8.19864038498222,8.21967168364214,7.98879281133499,7.41783570940941,7.50584803163268,7.51857517401551,7.29025512232313,7.56865371678976,7.72971720765548,6.23067792804921,6.98798403744055,6.58965197137173
"17300181",4.89438039158555,4.968232683009,4.80358637059523,5.05573884047376,4.91387403846205,4.58169464322941,4.80048109050535,5.1956724712285,5.52234041796479,4.32530663629938,4.59364010689339,4.54388629371205
"17330162",4.05513867643619,4.0027757476165,4.46858111217536,4.50051478468557,5.05251970834364,4.58895627971647,4.27425099724189,4.22623824926995,4.32093734872181,4.1145714801885,4.56502656358998,4.42991449227203
"17277679",6.05867650630719,5.56020287138631,6.15721459994344,5.04430553851041,5.97516930049161,5.95130746865462,6.42430865332863,6.4929845432589,6.4670264644808,6.38049826949011,6.06961954731752,5.7162362920489
"17425978",5.87106209758934,9.45726709128897,6.23010043242241,3.8659119184967,3.81570480459384,3.75451245854684,4.91748131378568,4.38865958150849,4.02520374066976,3.94316217685203,3.77301225494971,3.71065562689865
"17277685",3.52738921937934,3.22448769571564,3.56888971193156,3.83644248969037,3.64749754744332,3.54453971783863,3.20974481954099,3.26233773160603,3.66862387422524,3.23411202438829,3.28125306235069,3.19971214799027
"17380518",8.76872828444637,8.78983382744432,8.33956868745163,8.57573195240845,9.04815485045522,9.13280551709347,8.21779012470076,9.00610804710147,8.36306159657228,8.5572222204724,9.2021696615058,8.58424701758272
"17315627",3.53690600468007,3.5688675059271,3.81676249789603,3.64295399828368,3.74086539704729,3.48835474277238,3.98702221502848,4.29312771733472,4.24339279174734,3.93428358572848,4.38369926245489,3.9172534359751
"17224698",6.06254061933,5.85511042121796,5.98694944432111,6.19843707326373,6.34704639324581,6.62111216314101,6.37144627755957,5.9730734571847,6.04613669474231,6.17866389021603,6.23073143488238,6.39502168979969
"17479913",5.28314421587854,5.53088288322929,5.66987601737812,5.18199995964001,5.45324061505656,5.26818943210256,5.40974209775108,5.45000338602432,5.64724196592451,5.53166033468469,5.61494289488985,5.60903669364897
